"Name","Source","Level","Casting Time","Duration","School","Range","Components","Classes","Text","At Higher Levels"
"烈日光束","PHB","6环","动作","专注，至多 1 分钟","塑能","自身 (60尺 直线)","声音、姿势、材料 (一面放大镜)","德鲁伊、术士、法师","一道耀眼的光耀射线从你的手中闪射而出一束5尺宽、60尺长的直线。每个在这个直线内的生物必须进行一次体质豁免。若豁免失败，该生物将受到6d8光耀伤害且陷入目盲直到你的下个回合。豁免成功则只受到一半的伤害。若豁免成功，该生物只受到一半的伤害，且不会因此法术陷入目盲。不死生物和泥怪在此豁免检定中具有劣势。直到此法术结束前，你能够以一个动作再射出一道新的光耀射线。在法术持续期间，耀眼的光辉粒子在你手中闪耀。它将散发出30尺半径的明亮光照和再延伸30尺的微光光照。这道光线视为日光。",""
"猎人印记","PHB","1环","附赠动作","专注，至多 1 小时","预言","90 尺","声音","游侠","你选择射程内你所能看见的一个生物，并神秘地标记它为你的猎物。直到法术结束前，每当你使用一次武器攻击命中该目标，你造成额外1d6伤害。且你在任何为了找到它而进行的感知（察觉）检定中具有优势。若目标的生命值在法术结束前归零，则你可以在你后续的回合以一个附赠动作去标记一个新的生物。","升环施法效应. At Higher Levels 当你使用3环或4环法术位施放此法术时，你可以维持你在此法术的专注最多8小时。当你使用5环或更高的法术位施放此法术时，你可以维持你在此法术的专注最多24小时。"
"灵魂囚笼","XGE","6环","反应","8 小时","死灵","60 尺","声音、姿势、材料 (一个价值100金币的银制小笼子)","契术师、法师","此法术将在一个类人生物死亡时抓住它的灵魂，并将它困在你用以作为材料构材的小型笼子中。被抓住的灵魂将待在笼子内直到此法术结束、或者你摧毁这个笼子，这也将使此法术结束。当你的笼子内有一个灵魂时，你可以通过以下记载的任意方式以利用它。你可以使用一个被困住的灵魂最多六次。一旦你利用了这个灵魂第六次，它将被解放，且此法术结束。当一个灵魂被困住时，该灵魂所属的死去类人生物将无法被复活。 窃取生命. 你可以使用一个附赠动作以吸取该灵魂的活力，并回复2d8点生命值。 质问灵魂. 你询问该灵魂一个问题（不需要动作），并得到一个简短的心灵感应作为回答，无论它使用什么语言你都能够理解。这个灵魂只知道它生前所知的事，且它必须尽其所能的诚实回答。这个回答不能超过一至二个句子，且可能是晦涩难解的。 借取经验. 你可以使用一个附赠动作以使用灵魂的生命经历援助你自己，使你的下次攻击检定、属性检定、或豁免检定具有优势。若你在你的下个回合开始之前没有使用这个好处，则它的效果将被丢失。 死者之眼. 你可以使用一个动作以指名该类人生物生前曾见过的场所，若该场所位于你所处的存在平面，则你将在该场所的某处创造出一个隐形的感应器。只要你维持专注，这个感应器便会维持其存在最多10分钟（如同你专注于法术）。你将通过该感应器接收视觉和听觉信息，就如同你位于该处使用你自己的感官一样。一个可以看见感应器的生物（例如使用识破隐形法术或真实视觉的生物）会看见一个灵魂被你囚禁的痛苦类人生物的半透明影像。",""
"灵敏之赐","EGW","1环","1 分钟","8 小时","预言","触碰","声音、姿势","","你触碰一个自愿生物，在法术持续时间内，其先攻掷骰中可以加入一个额外的1d8。",""
"灵体守卫","PHB","3环","动作","专注，至多 10 分钟","咒法","自身 (15尺 半径)","声音、姿势、材料 (一个圣徽)","牧师","你呼唤出灵体们以保护自己。它们将在法术持续期间在距离你15尺的范围内飞掠环绕着你。若你的阵营为善良或中立，则它们的灵体外型看起来会像是天使或精类（由你决定）。若你的阵营为邪恶，则它们看起来会像是邪魔。当你施放此法术时，你可指定任意数量个你所能看见的生物不受此法术影响。一个被影响的生物在范围内的速度减半，且当该生物在一个回合中第一次进入该区域、或在该处开始它的回合，则它必须进行一次感知豁免。若豁免失败，则该生物将受到3d8光耀伤害（若你为善良或中立）或3d8黯蚀伤害（若你为邪恶）。若豁免成功，则该生物只受到一半的伤害。","升环施法效应. At Higher Levels 当你使用4环或更高的法术位施放此法术时，你使用的法术位每比原本高一环，伤害便会再增加1d8。"
"灵体武器","PHB","2环","附赠动作","1 分钟","塑能","60 尺","声音、姿势","牧师","你在射程内创造出一把浮空、灵体的武器，在法术持续期间内持续存在，或直到你再次施放此法术。当你施放此法术时，你可以对距离该武器5尺内的一个生物进行一次近战法术攻击。若命中，则目标将受到等同于1d8 + 你的施法属性调整值的力场伤害。在你的回合以一个附赠动作，你可以移动该武器最多20尺距离，并对距离它5尺内的一个生物再重复进行一次该攻击。此武器可以有着任何你所选的外型。信仰关联于特定武器的神明（例如圣卡斯伯特以他的硬头槌闻名，而索尔则以祂的槌子闻名）的牧师会使此法术的外型与该武器相似。","升环施法效应. At Higher Levels 当你使用3环或更高的法术位施放此法术时，你使用的法术位每比原本高二环，伤害便会再增加1d8。"
"流星爆","PHB","9环","动作","即效","塑能","1 里","声音、姿势","术士、法师","炽烈的火焰球体轰炸射程内地面上你所能看见的四个点。每个位于以你所选各点为中心40尺半径球体范围内的生物都必须进行一次敏捷豁免。这个球体范围会绕过转角。一个豁免失败的生物将受到20d6火焰伤害和20d6钝击伤害，豁免成功则只受到一半的伤害。一个同时处于多个烈焰爆炸范围的生物只会被影响一次。此法术会伤害范围内的物体，并点燃所有未被穿戴或携带的可燃物体。",""
"硫酸法球","XGE","4环","动作","即效","塑能","150 尺","声音、姿势、材料 (一滴巨蛞蝓的胆汁)","奇械师 (Revisited)、术士、法师","你指向射程内的一个地点，一个1尺直径的发光翠绿色强酸球将袭向该处，并爆炸席卷整个20尺半径的球体范围。每个在该区域内的生物都必须进行一次敏捷豁免。若豁免失败，该生物将受到10d4强酸伤害，并在它的下个回合结束时再受到5d4强酸伤害。若豁免成功，则该生物只受到一半的初始伤害，且不会在它的下个回合结束时造成伤害。","升环施法效应. At Higher Levels 当你使用5环或更高的法术位施放此法术时，你使用的法术位每比原本高一环，初始伤害都会再增加2d4。"
"龙卷旋风","XGE","7环","动作","专注，至多 1 分钟","塑能","300 尺","声音、材料 (一根稻草)","德鲁伊、术士、法师","一道旋风在射程内你所能看见地面上的一点呼啸而现。这道旋风是一个以该点为中心，10尺半径、30尺高的圆柱体。直到此法术结束前，你可以使用你的动作以让这道旋风沿着地面向任意方向移动最多30尺。这道旋风会吸起任何未被固定、且未被任何人穿戴或携带的中型或更小的物体。当一个生物在一个回合中第一次进入旋风区域、或当旋风进入它所在的空间（包括旋风初次出现时）时，它都必须进行一次敏捷豁免。一个豁免失败的生物将受到10d6钝击伤害，豁免成功则只受到一半的伤害。此外，一个在该豁免中失败，体型为大型或更小的生物，必须再成功通过一次力量豁免，否则在旋风中被束缚直到此法术结束。当一个被束缚的生物在旋风中开始它的回合，除非该生物已经位于顶端，否则它将被向上拖动5尺。一个被束缚的生物将随着旋风移动，并在此法术结束时坠落，除非该生物有其他方式能够使自己维持浮空。一个被束缚的生物可以使用一个动作进行一次对抗你法术豁免DC的力量或敏捷检定。若检定成功，则该生物将不再被旋风束缚，且被往随机方向抛离3d6 × 10尺距离。",""
"龙息术","XGE","2环","附赠动作","专注，至多 1 分钟","变化","触碰","声音、姿势、材料 (一根辣椒)","术士、法师","你触碰一个自愿生物并赋予它从口中喷吐出魔法能量的力量，只要它有嘴巴。选择强酸、冷冻、火焰、闪电、或毒素。直到此法术结束前，该生物可以使用一个动作以喷出一团15尺锥形所选类型的能量。每个在范围内的生物都必须进行一次敏捷豁免，若豁免失败将受到3d6所选类型的伤害，豁免成功则只受到一半的伤害。","升环施法效应. At Higher Levels 当你使用3环或更高的法术位施放此法术时，你使用的法术位每比原本高一环，伤害便会再增加1d6。"
"律令死亡","PHB","9环","动作","即效","惑控","60 尺","声音","吟游诗人、术士、契术师、法师","你说出一句律令真言，强迫一个射程内你所能看见的生物立即死亡。若你所选的该生物拥有100点生命值或更少，则它立刻死亡。否则此法术不会产生任何效果。",""
"律令痛苦","XGE","7环","动作","即效","惑控","60 尺","声音","术士、契术师、法师","你说出一句律令真言，引发一道强烈的痛苦波动袭向射程内你所能看见的一个生物。若目标拥有100点生命值或更少，它将遭受致残性的痛苦。否则此法术对它不会产生任何效果。一个免疫于魅惑的目标同样不会受到影响。当目标受到此致残痛苦的影响，它所拥有的任何移动速度都将不会超过10尺。目标同时在攻击检定、属性检定、和除了体质豁免以外的豁免检定中具有劣势。最后，若目标尝试施放一个法术，则它必须先成功通过一次体质豁免，否则将施放失败且该法术被浪费。承受此痛苦的目标可以在每次它的回合结束时进行一次体质豁免。若豁免成功，则结束此痛苦。",""
"律令震慑","PHB","8环","动作","即效","惑控","60 尺","声音","吟游诗人、术士、契术师、法师","你说出一句律令真言，压倒射程内你所能看见的一个生物的心灵，使它惊愕呆愣。若目标拥有150点生命值或更少，则它将陷入震慑状态。否则此法术不会产生任何效果。被震慑的目标必须在每次它的回合结束时进行一次体质豁免。若豁免成功，则此震慑效果结束。",""
"律令治愈","PHB","9环","动作","即效","塑能","触碰","声音、姿势","吟游诗人","一波治愈能量冲刷你所碰触的生物。目标回复它所有的生命值。若该生物被魅惑、恐惧、麻痹或震慑，则该状态结束。若该生物处于伏地状态，则它可以使用它的反应起身。此法术对不死生物或构装体没有任何效果。",""
"马克西米利安大地之攫","XGE","2环","动作","专注，至多 1 分钟","变化","30 尺","声音、姿势、材料 (黏土雕制而成的小型单手模型)","术士、法师","你选择射程内一处未被占据，且你所能看见的5尺平方地表。一个由坚实土壤构成的中型土手将从该处升起，并伸向距离它5尺内一个你所能看见的生物。目标必须进行一次力量豁免。若豁免失败，目标将受到2d6钝击伤害，并在法术持续期间被束缚。以一个动作，你可以让这只手挤压被束缚的目标，而它必须再进行一次力量豁免。豁免失败则目标将受到2d6钝击伤害，豁免成功则只受到一半的伤害。要从中逃脱，被束缚的目标可以使用它的动作以进行一次对抗你法术豁免DC的力量检定。若检定成功，则目标从中逃脱，不再被这只手束缚。以一个动作，你可以使这只手伸向一个不同的生物、或使它移动到射程内另一处未被占据的空间。若你这么做，这只手将释放被它束缚的目标。",""
"马友夫强酸箭","PHB","2环","动作","即效","塑能","90 尺","声音、姿势、材料 (大黄叶的粉末以及蝰蛇的胃袋)","法师","一道闪烁的绿色箭矢袭向射程内的一个目标并爆散成酸雾。对目标进行一次远程法术攻击。若命中，目标将立刻受到4d4强酸伤害，并在它的下个回合结束时再受到2d4强酸伤害。若没有命中，则酸液箭矢将溅射到目标身上，造成初始伤害一半的伤害，且不会在它的下个回合结束时造成伤害。","升环施法效应. At Higher Levels 当你使用3环或更高的法术位施放此法术时，你使用的法术位每比原本高一环，初始伤害和后续伤害都会再增加1d4。"
"马友夫微陨星","XGE","3环","动作","专注，至多 10 分钟","塑能","自身","声音、姿势、材料 (硝石、硫磺、和松焦油形成的串珠)","术士、法师","你在你的空间中创造出六个微型陨星。它们会漂浮于空中，并在法术持续期间环绕着你。当你施放此法术—以及在这之后你的每个回合以一次附赠动作—，你可以消耗其中一颗或二颗陨星，让它们袭向距离你120尺内你所选择的一点。一旦陨星落在它的目的地、或冲击到固体表面上，则该陨星将会爆炸。每个距离陨星爆炸处5尺内的生物都必须进行一次敏捷豁免。一个豁免失败的生物将受到2d6火焰伤害，豁免成功则只受到一半的伤害。","升环施法效应. At Higher Levels 当你使用4环或更高的法术位施放此法术时，你使用的法术位每比原本高一环，你就可以再额外创造二颗陨星。"
"脉冲波动","EGW","3环","动作","即效","塑能","自身 (30尺 锥形)","声音、姿势","","你创造出一股强烈的冲压，将其释放向30尺锥形范围，并决定该冲压会推开还是拉近范围内的物品与生物。在锥形范围内的每个生物必须要通过一个体质豁免，若豁免失败则会受到6d6力场伤害，豁免成功则受到一半伤害。豁免失败的生物会向你被拉进15尺，或从你处被推开15尺，取决于你施展法术时的选择。另外，完全处于锥形范围内的物件也会被向你被拉进或者被推开15尺。","升环施法效应. At Higher Levels 当你使用四环或更高环的法术位施展该法术时，每比三环高出一环的法术位就能使法术的伤害增加1d6，并使推拉的距离增加5尺。"
"魅惑怪物","XGE","4环","动作","1 小时","惑控","30 尺","声音、姿势","吟游诗人、德鲁伊、术士、契术师、法师","你尝试魅惑一个射程内你所能看见的生物。它必须进行一次感知豁免，且若你或你的同伴正在与它战斗，则它在该豁免检定中具有优势。若它豁免失败，它将被你魅惑直到法术结束或直到你或你的同伴做出任何危害它的行动。被魅惑的生物将对你友善。当此法术结束，该生物将会知道它曾被你魅惑。","升环施法效应. At Higher Levels 当你使用5环或更高的法术位施放此法术时，你使用的法术位每比原本高一环，你就可以再额外选择一个生物作为目标。当你选择这些生物时，它们彼此之间的距离必须在30尺内。"
"魅惑人类","PHB","1环","动作","1 小时","惑控","30 尺","声音、姿势","吟游诗人、德鲁伊、术士、契术师、法师","你尝试魅惑一个射程内你所能看见的类人生物。它必须进行一次感知豁免，且若你或你的同伴正在与它战斗，则它在该豁免检定中具有优势。若它豁免失败，它将被你魅惑直到法术结束或直到你或你的同伴做出任何危害它的行动。被魅惑的生物将把你视作一名亲近的熟人。当此法术结束，该生物将会知道它曾被你魅惑。","升环施法效应. At Higher Levels 当你使用2环或更高的法术位施放此法术时，你使用的法术位每比原本高一环，你就可以再额外选择一个生物作为目标。当你选择这些生物时，它们彼此之间的距离必须在30尺内。"
"魅影驹","PHB","3环","1 分钟","1 小时","幻术","30 尺","声音、姿势","法师","一个大型，仿真似马的生物出现在射程内一处你所选择的未被占据空间。你决定该生物的样貌，且它将装备着鞍座、马嚼、和缰绳。任何由此法术创造的装备都将在被带离魅影驹超过10尺后化作一阵烟雾消失。在法术持续期间，你或一个你所选择的生物可以骑乘这匹魅影驹。该生物使用骑用马的数据数据，但它具有100尺的移动速度，且可以在一小时内旅行10里。当此法术结束时，这匹魅影驹将缓缓消散，给骑乘者1分钟的时间下马。此法术将在你使用一个动作解除它或这匹魅影驹受到任何伤害时结束。",""
"魅影杀手","PHB","4环","动作","专注，至多 1 分钟","幻术","120 尺","声音、姿势","法师","你挖掘出射程内你所能看见的一个生物的恶梦，并创造出一个只能被该生物看见的幻象，表现出它心底最深的恐惧。目标必须进行一次感知豁免。若豁免失败，则目标在法术持续期间变得恐惧。在此法术结束前，每次目标的回合结束时，目标必须成功通过一次感知豁免，否则受到4d10心灵伤害。若豁免成功，则此法术结束。","升环施法效应. At Higher Levels 当你使用5环或更高的法术位施放此法术时，你使用的法术位每比原本高一环，伤害便会再增加1d10。"
"魅影之力","PHB","2环","动作","专注，至多 1 分钟","幻术","60 尺","声音、姿势、材料 (少许羊毛)","吟游诗人、术士、法师","你创造出一个深植在射程内你所能看见的一个生物心中的幻象。目标必须进行一次智力豁免。若豁免失败，你在法术持续期间创造出一个幻象物体、生物、或其他可视现象，这个幻象的大小不能超过10尺边长立方体空间，且只会被目标感知。此法术对不死生物或构装体没有任何效果。这个幻象包括了声音、温度、和其他感官刺激，同样只有该生物能察觉。目标可以使用它的动作以一次对抗你法术豁免DC的智力(调查)检定去细查这个幻象。若检定成功，目标将理解到这个幻象是虚假的，且此法术结束。当一个生物被此法术影响，目标将视幻象为真实存在的。目标会合理化任何与幻象交互所产生的不合理结果。举例来说，一个尝试走过横跨峡谷的幻象桥的生物将会在它踏出脚步的时候坠落。若目标从这次坠落中幸存，它仍会相信那座桥是存在的，并会为它的坠落想出一些其他解释—也许它被推了一把、它失足滑落、或也许是一阵强风将它吹了下来。一个受影响的目标对幻象的真实性是如此的深信不疑，甚至会让它从幻象中受到伤害。一个被创造成生物的幻象可以攻击目标。同样的，一个被创造成火焰、一池酸液、或岩浆的幻象也可以烧灼目标。在你的每个回合，若目标距离幻象5尺以内，且只要幻象呈现为可以合理造成伤害（例如借由攻击）的生物或危险，则幻象将可以对目标造成1d6心灵伤害。目标会认为它受到与幻象相符的伤害类型。",""
"朦胧术","PHB","2环","动作","专注，至多 1 分钟","幻术","自身","声音","奇械师、奇械师、奇械师 (Revisited)、术士、法师","你的身体轮廓对所有能看见你的人来说变得模糊、变幻、摇曳在法术持续期间，任何生物在对你进行攻击检定中具有劣势。一个不依赖视觉的攻击者（例如通过盲视）、或者能看透幻象的攻击者（例如通过真实视觉），将免疫此效果。",""
"迷宫术","PHB","8环","动作","专注，至多 10 分钟","咒法","60 尺","声音、姿势","法师","你将射程内一个你所能看见的生物放逐到一个迷宫似的半位面。目标将在法术持续期间内留在该处、或直到它从该迷宫中逃出。目标可以使用它的动作以尝试逃脱。当它这么做时，它进行一次DC 20的智力检定。若它检定成功，则它成功逃脱，且此法术结束（米诺陶或巨牛魔将自动通过此检定）。当此法术结束时，目标将重新出现在它离开时所在的空间，或若该空间已被占据，则出现在最近的一处未被占据空间。",""
"迷幻手稿","PHB","1环","1 分钟","10 天","幻术","触碰","姿势、材料 (一份价值至少10金币的含铅墨水，在施法时消耗)","吟游诗人、契术师、法师","你在羊皮纸、纸、或其他适合的书写材料上书写文本，并对其注入一个强力的幻象，持续直到法术结束。对于你和任何你在施放此法术时指定的生物而言，这份文档看起来完全正常，有你的笔迹，且忠实呈现任何你在书写文本时想传达的意义。但对其他所有人而言，这份文档看起来就如同它是以无法理解的未知或魔法字母书写而成。或者，你也可以让这份文档呈现完全不同的消息、或以不同的笔迹和语言书写，但该语言必须是你知晓的语言。一旦此法术被解除，原始手稿和幻象将一起消失。一个拥有真实视觉的生物可以读出被隐藏的消息。",""
"迷踪步","PHB","2环","附赠动作","即效","咒法","自身","声音","术士、契术师、法师","短暂的被一阵银色迷雾环绕，你传送到最多30尺距离的一处你所能看见的未被占据空间。",""
"秘法锁","PHB","2环","动作","直到 dispelled","防护","触碰","声音、姿势、材料 (价值至少25金币的金粉，在施法时消耗)","奇械师、奇械师、奇械师 (Revisited)、法师","你触碰一个关上的门、窗户、闸门、箱子，或其他通道，它将在法术持续期间被锁住。你和你在施放此法术时所选的生物可以如常地打开它。你也可以设置一个密码，当在距离该物体5尺内说出密码，法术就会被压制1 分钟。除此之外，直到该物体被破坏、或者此法术被解消或压制之前，它都无法被打开。对该物体施放敲击术将会压制秘法锁长达10分钟。当受到此法术影响，该物体将会比原本更难以被破坏或强开；破坏它或撬开它上面的锁的DC增加10。",""
"秘法眼","PHB","4环","动作","专注，至多 1 小时","预言","30 尺","声音、姿势、材料 (少许蝙蝠皮毛)","奇械师、奇械师、奇械师 (Revisited)、法师","你在射程内创造出一个隐形的魔法眼睛，在法术持续期间飘浮于空中。你通过心灵接收来自这个眼睛的视觉情报，它具有正常视觉和30尺的黑暗视觉。这个眼睛可以看向任何方向。以一个动作，你可以使这个眼睛向任何方向移动最多30尺距离。眼睛与你之间的距离没有限制，但它不能进入另一个存在位面。一道固体屏障可以阻挡眼睛的移动，但这个眼睛可以穿过直径最少1寸的开口。",""
"秘法之门","PHB","6环","动作","专注，至多 10 分钟","咒法","500 尺","声音、姿势","术士、契术师、法师","你创造一对互相链接的传送门，并在法术持续期间内持续打开。在你所能看见的地面上选择两个点，一点距离你10尺内，另一点则需距离你500尺内。一个10尺半径的圆形传送门将在各点位置出现并打开。若该传送门会在一个已经被某个生物占据的空间打开，则此法术将失败，且该次施法被浪费。这对传送门呈现一个二维的发光圆环，内部充满迷雾，并垂直悬浮于你所选地面位置数寸上空。这个圆环只能从其中一侧被看见（由你选择），且只有该侧具有传送门的功能。任何进入传送门的生物或物体都将从另一个传送门离开，就如同它们两道传送门彼此相邻；穿过圆环非传送门的那一侧不会有任何效果。传送门内充斥的迷雾不透光，且将阻挡视线穿透它。在你的回合，你能够以一个附赠动作旋转圆环，好让其有效的那一侧面向一个不同的方向。",""
"渺远步","XGE","5环","附赠动作","专注，至多 1 分钟","咒法","自身","声音","术士、契术师、法师","你传送到最多60尺距离的一处你所能看见的未被占据空间。在此法术结束前你的每个回合，你都可以使用一个附赠动作以再次通过这个方式传送。",""
"鸣雷破","XGE","戏法","动作","即效","塑能","5 尺","姿势","奇械师、奇械师 (Revisited)、吟游诗人、德鲁伊、术士、契术师、法师","你迸发出一道雷鸣声，可以在最远100尺的距离外被听到。每个射程内的生物，除了你之外，都必须成功通过一次体质豁免否则受到1d6雷鸣伤害。此法术的伤害将在你的等级升至5级时增加至2d6，11级时3d6，17级时4d6。",""
"命令术","PHB","1环","动作","1 轮","惑控","60 尺","声音","牧师、圣武士","你对射程内你所能看见的一个生物说出一个单词命令。目标必须成功通过一次感知豁免，否则将在它的下个回合遵循该命令。若目标为不死生物、目标无法理解你的语言、或你的命令对它有直接危害，则此法术不会有任何效果。以下是一些典型的命令和他们的效果。你也可以提出以外的其他命令。若你这么做，则由DM决定目标将会如何行动。如果目标无法遵循你的命令，则此法术结束。 靠近. 目标以最短最直接的路径向着你移动，且若移动到你5尺距离内时将会结束它的回合。 丢下. 目标丢下任何它所持握的东西，然后结束它的回合。 逃走. 目标花费它的回合以最快的速度远离你。 趴下. 目标陷入伏地状态，然后结束它的回合。 暂停. 目标不移动且不采取任何动作。若飞行生物能够维持浮空，则它将会这么做。如果它必须要移动才能维持在空中，则它会飞行最短所需距离以维持于空中。","升环施法效应. At Higher Levels 当你使用2环或更高的法术位施放此法术时，你使用的法术位每比原本高一环，你就可以再额外影响一个生物。当你选择这些生物时，它们彼此之间的距离必须在30尺内。"
"命运宠儿","EGW","2环","1 分钟","1 小时","预言","60 尺","声音、姿势、材料 (言语，姿势，材料(一颗至少价值 100gp 的白色珍珠，在施法时被消耗))","","你给予你自己或施法距离内你可见的一个自愿生物以潜藏的幸运。在法术结束之前，当被选中的生物进行一次攻击检定，属性检定或者豁免检定时，其能够使这个法术结束并扔一颗额外的d20骰，并决定使用哪一颗d20。或者，当这个生物成为一个攻击检定的目标时，其能够使这个法术结束并扔一颗额外的d20骰，并决定使用哪一颗骰，并决定使用哪一颗d20：攻击者所掷骰的或通过该法术所掷骰。若原d20骰有优势或劣势，那么通过该法术掷出的d20在原d20的优势或劣势生效后生效。","升环施法效应. At Higher Levels 使用三环或更高法术位施展该法术时，每比二环高一环的法术位可以令你指定一个额外的生物。"
"摹造生命","PHB","1环","动作","1 小时","死灵","自身","声音、姿势、材料 (少量酒或蒸馏酒精)","奇械师、奇械师、奇械师 (Revisited)、术士、法师","以死灵术炮制的生命支撑自己，你在法术持续期间获得1d4 + 4临时生命值。","升环施法效应. At Higher Levels 当你使用2环或更高的法术位施放此法术时，你使用的法术位每比原本高一环，你就可以额外再获得5点临时生命值。"
"魔袋术","EGW","2环","动作","专注，至多 1 小时","咒法","自身","姿势","","你轻弹手腕, 让你手中的一件物品消失。这件只有你能持握的，重量不超过五磅物件会被传送到一个异次元空间，它会在法术持续时间内一直停留在那里。到法术结束为止, 你可以用你的动作将物件召唤到你空余的手中, 你也可以用一个动作将该物件返还至异次元空间处。到法术结束时仍然存在在异次元空间的物品会出现在你所在的位置中，处于你的脚下。",""
"魔邓肯豪宅术","PHB","7环","1 分钟","24 小时","咒法","300 尺","声音、姿势、材料 (一个象牙雕刻而成的正门模型、一小块打磨过的大理石、和一根银制小汤匙，各自价值至少5金币)","吟游诗人、法师","你在射程内变出一座位于异次元的住处，并在法术持续期间持续存在。你决定它唯一的入口出现在何处。这个入口闪烁着微光，且为5尺宽和10尺高。只要传送门仍保持打开，你和任何你在施放此法术时指定的生物就可以进入这座异次元住处。你可以在你距离传送门30尺内时打开或关上这个传送门。当传送门被关上，它将变为隐形。在传送门内，是一座连接着许多房间的华丽大厅。住处内的空气清新且温暖。你可以创造出任何你想要楼层规划，但它的空间不能超过50个10尺边长立方体所构成的空间。这个场所的家具和装潢由你决定。它含有足够的食物以为最多100人提供九道菜的盛宴。100个近乎隐形的仆役组织而成的职员将招待所有进入住处的人。你决定这些仆役的视觉外观和衣着。它们将完全服从你的命令。每个仆役都能够运行任何寻常人类仆役可以运行的工作，但它们无法攻击、或采取任何会对其它生物有直接伤害的行动。这些仆役可以拿取东西、打扫、缝补、折衣服、点火、上菜、和倒酒等等。这些仆役可以在豪宅内四处移动，但不能离开豪宅。家具和其他由此法术创造的物体将在被移出豪宅时如烟消散。当此法术结束时，任何仍在异次元空间内的生物都将被逐出至最接近入口处的开放空间。",""
"魔邓肯私人密室","PHB","4环","10 分钟","24 小时","防护","120 尺","声音、姿势、材料 (一片薄铅片、一块不透光玻璃、一团棉花或布料、和贵橄榄石粉末)","奇械师、奇械师、奇械师 (Revisited)、法师","你用魔法保护射程内一个区域的安全。该区域为一个立方体区域，各边长最小为5尺，最大为100尺。此法术持续到法术持续期间结束，或直到你使用一个动作将它解消。当你施放此法术时，你决定此法术将提供怎样的安全防护，从以下特性中选择任意个或全部：声音不会穿过位于守护区域边缘的屏障。守护区域的屏障看起来暗沉而朦胧，防止视觉（包括黑暗视觉）穿透它。通过预言系法术创造的感应器无法出现在受保护的区域内，也无法穿过它边缘的屏障。该区域内的生物无法被作为预言系法术的目标。任何事物都无法传送进入或出去被守护的区域。守护区域内进行的位面旅行将被阻挡。在一年内每天持续在同一个地方施放此法术，将会使此效果成为永久效果。","升环施法效应. At Higher Levels 当你使用5环或更高的法术位施放此法术时，你使用的法术位每比原本高一环，你就可以让立方体的大小再增加100尺。因此你可以借由使用5环法术位来保护一个各边长最多200尺的立方体区域。"
"魔邓肯之剑","PHB","7环","动作","专注，至多 1 分钟","塑能","60 尺","声音、姿势、材料 (一把白金制成，铜锌合金剑柄的宝剑模型，价值250金币)","吟游诗人、法师","你创造出一块剑形的力场平面，漂浮于射程内。它将在法术持续期间内持续存在。当这把剑出现时，你可以对距离这把剑5尺内的一个目标进行一次近战法术攻击。若命中，则目标将受到3d10力场伤害。直到此法术结束前，你可以在你的每个回合以一个附赠动作移动该这把剑最多20尺距离到一处你所能看见的位置，并再对一个相同或不同的目标重复进行一次此攻击。",""
"魔邓肯忠犬","PHB","4环","动作","8 小时","咒法","30 尺","声音、姿势、材料 (一个银制小哨、一根骨头、和一条线)","奇械师、奇械师、奇械师 (Revisited)、法师","你在射程内你所能看见的一处未被占据空间召唤出一只幻影看门狗，它将在法术持续期间维持存在，直到你以一个动作将它解消、或直到你移动到距离它超过100尺外的地方。这只猎犬对除了你以外的所有生物而言是隐形的，且不会被伤害。当一个体型为小型或更大生物来到距离你30尺内的位置，而没有先说出你在施放此法术时指定的密语，则猎犬将开始大声吠叫。这只猎犬可以看见隐形的生物，且可以看见乙太位面的事物。它无视幻象。在每次你的回合开始时，这只猎犬会尝试啃咬一个距离它5尺内，且对你有敌意的生物。这只猎犬的攻击加值等同于你的施法属性调整值 + 你的熟练加值。若命中，则它造成4d8穿刺伤害。",""
"魔法飞弹","PHB","1环","动作","即效","塑能","120 尺","声音、姿势","术士、法师","你创造出三支发着光的魔法力场箭矢。每支箭矢各自命中射程内你所选且你能看见的一个生物。一支箭矢会对它的目标造成1d4 + 1力场伤害。所有箭矢都将同时击中，且你可以决定它们要命中同一个或复数个生物。","升环施法效应. At Higher Levels 当你使用2环或更高的法术位施放此法术时，你使用的法术位每比原本高一环，此法术就可以再额外创造一支箭矢。"
"魔法技俩","PHB","戏法","动作","至多 1 小时","变化","10 尺","声音、姿势","奇械师、奇械师 (Revisited)、吟游诗人、术士、契术师、法师","这个法术是新手施法者用来练习的小小魔法把戏。你在射程内创造出下列其中一种魔法效果：你创造出一个即效、无害的感官效果，像是一阵火花飞溅、一阵微风、模糊的音符、或一阵怪味。你立刻点亮或熄灭一根蜡烛、火炬、或一处小型篝火。你立刻清洁或弄脏一个不大于1尺立方的物体。你将一个最大1尺立方的无生命材料冷却、温热、或调味长达1小时。你让一片颜色、一个小记号、或一个符号出现在物体或一处表面上长达1小时。你创造出一个非魔法的小饰物或一个能放入你手中的幻影，并持续直到你的下个回合结束。如果你多次施放这个法术，你可以让最多三个非即效的效果同时生效，且你可以用一个动作解消像这样的一个效果。",""
